               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10044,            0.026146,            0.029678,             0.13126,             0.35675,            0.097437,            0.031115,             0.08279,            0.013683,            0.028494,              0.0802,              0.0022,              0.0022
                   1,            0.062882,            0.028367,            0.023645,             0.80591,             0.31633,             0.44021,             0.20043,            0.067754,            0.013202,            0.025994,            0.059485,           0.0044852,           0.0044852
                   2,            0.049348,            0.025076,            0.020071,             0.51177,              0.5424,             0.51132,             0.26189,            0.058049,           0.0094483,            0.022274,            0.038755,           0.0067551,           0.0067551
                   3,            0.046117,            0.021671,            0.016838,             0.65371,             0.46753,             0.53378,             0.22064,            0.061229,           0.0085706,            0.023926,             0.01801,           0.0090099,           0.0090099
                   4,            0.041865,            0.019814,            0.016016,             0.37609,             0.36529,             0.31394,             0.16067,            0.061124,            0.011002,            0.026127,            0.009868,            0.009868,            0.009868
                   5,            0.039615,            0.019432,            0.014237,             0.23644,             0.48168,             0.22632,             0.10864,            0.059839,            0.011664,            0.027167,            0.009868,            0.009868,            0.009868
                   6,            0.036463,             0.01851,            0.013621,             0.44337,             0.55891,             0.47013,             0.23038,            0.063868,            0.011703,            0.022813,            0.009835,            0.009835,            0.009835
                   7,            0.034381,             0.01865,             0.01327,             0.72809,             0.45594,             0.49111,              0.2693,            0.061775,            0.010215,            0.025028,            0.009802,            0.009802,            0.009802
                   8,            0.033963,            0.018627,              0.0117,             0.57788,              0.5872,             0.52144,               0.225,            0.061838,           0.0096897,            0.026731,            0.009769,            0.009769,            0.009769
                   9,            0.032487,            0.018366,            0.011501,             0.60658,             0.54058,             0.51246,               0.223,            0.070036,           0.0098065,             0.03082,            0.009736,            0.009736,            0.009736
                  10,            0.031444,            0.017814,            0.010607,             0.67173,             0.56957,             0.57935,             0.23849,            0.061832,           0.0094664,            0.028907,            0.009703,            0.009703,            0.009703
                  11,            0.030819,            0.018066,            0.010797,             0.54821,             0.58117,             0.48668,             0.24208,            0.055308,             0.01022,            0.030592,             0.00967,             0.00967,             0.00967
                  12,            0.028966,            0.016976,           0.0093142,             0.69889,             0.55032,             0.57089,             0.26544,            0.059251,            0.009234,            0.029505,            0.009637,            0.009637,            0.009637
                  13,             0.02833,            0.016745,            0.009749,             0.57642,             0.52877,             0.53997,             0.30893,            0.052423,            0.010298,            0.031231,            0.009604,            0.009604,            0.009604
                  14,            0.028093,            0.016924,           0.0090967,             0.64247,             0.61178,             0.56381,             0.31204,            0.056605,           0.0085972,            0.033133,            0.009571,            0.009571,            0.009571
                  15,             0.02764,             0.01669,           0.0087466,             0.59204,             0.62701,              0.6413,              0.3625,            0.051025,           0.0096225,            0.039277,            0.009538,            0.009538,            0.009538
                  16,            0.027483,             0.01664,           0.0078615,             0.73991,             0.55057,             0.62016,             0.31986,            0.049009,           0.0092189,            0.034014,            0.009505,            0.009505,            0.009505
