               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1065,            0.027255,            0.030082,            0.096905,             0.34447,            0.076334,            0.019634,             0.09209,            0.012601,              0.0284,              0.0856,              0.0016,              0.0016
                   1,            0.073042,            0.029176,            0.025644,             0.52471,             0.45435,             0.37274,             0.16187,            0.060993,            0.010701,            0.024202,            0.070267,           0.0032673,           0.0032673
                   2,            0.054428,            0.028425,             0.02161,             0.41961,             0.55447,             0.39121,             0.19432,            0.057814,             0.00816,            0.020725,            0.054901,            0.004901,            0.004901
                   3,             0.04942,            0.025885,            0.018308,             0.54985,              0.5641,             0.48829,             0.25026,            0.057335,           0.0069001,            0.018997,            0.039501,            0.006501,            0.006501
                   4,            0.046246,            0.022444,            0.014623,             0.59468,              0.5708,             0.54705,             0.24402,            0.057446,           0.0065449,            0.019189,            0.024067,           0.0080674,           0.0080674
                   5,            0.045562,            0.021176,            0.011488,             0.63046,             0.49383,             0.49022,             0.24014,            0.052752,           0.0076797,            0.023742,            0.009505,            0.009505,            0.009505
                   6,            0.040514,            0.019733,            0.010912,             0.34975,             0.37515,             0.24797,              0.1122,            0.052823,           0.0082977,            0.033861,            0.009505,            0.009505,            0.009505
                   7,            0.038357,             0.01934,           0.0098684,             0.54799,             0.49899,              0.4281,             0.17923,            0.065885,           0.0080245,            0.031325,            0.009406,            0.009406,            0.009406
                   8,            0.036631,            0.019312,           0.0091344,             0.58688,             0.54864,             0.44279,             0.20483,            0.052076,           0.0080359,            0.029594,            0.009307,            0.009307,            0.009307
                   9,            0.034195,            0.018418,           0.0090875,              0.6153,             0.57085,             0.51496,              0.2583,            0.049795,           0.0072877,             0.02672,            0.009208,            0.009208,            0.009208
                  10,            0.032253,            0.018163,           0.0098527,             0.71631,             0.49727,             0.58661,             0.30602,            0.052538,           0.0069369,            0.027457,            0.009109,            0.009109,            0.009109
                  11,            0.032686,            0.018427,           0.0078266,             0.70175,             0.53677,             0.55527,             0.30528,            0.046098,           0.0071769,            0.024987,             0.00901,             0.00901,             0.00901
                  12,            0.031225,            0.017926,            0.007269,             0.70145,             0.58198,             0.62489,             0.28692,            0.051404,            0.006521,            0.019093,            0.008911,            0.008911,            0.008911
                  13,            0.030228,            0.016662,           0.0072706,             0.61307,             0.56126,             0.54056,             0.28724,            0.050094,           0.0064284,            0.031393,            0.008812,            0.008812,            0.008812
                  14,             0.02986,            0.018007,           0.0074126,              0.7793,             0.54993,             0.58729,             0.30347,            0.050743,           0.0073947,            0.021767,            0.008713,            0.008713,            0.008713
                  15,            0.029681,            0.018479,           0.0065339,              0.6309,             0.64418,             0.63876,             0.34126,            0.050425,           0.0067384,            0.034094,            0.008614,            0.008614,            0.008614
                  16,            0.027821,            0.016808,           0.0070381,             0.89045,             0.57557,             0.66454,             0.32574,            0.053171,           0.0059624,            0.019466,            0.008515,            0.008515,            0.008515
                  17,            0.028494,            0.016424,           0.0054885,              0.8039,             0.58839,              0.5806,               0.282,            0.057603,           0.0059513,            0.022961,            0.008416,            0.008416,            0.008416
                  18,            0.028144,            0.016575,           0.0061639,              0.7837,             0.52848,             0.53406,             0.25068,            0.060171,           0.0070145,            0.025257,            0.008317,            0.008317,            0.008317
                  19,            0.026903,            0.017194,           0.0053674,             0.78929,             0.58873,             0.65615,             0.33798,            0.047893,           0.0066004,            0.029304,            0.008218,            0.008218,            0.008218
                  20,            0.026454,            0.016693,           0.0050636,             0.79982,             0.60864,             0.66682,              0.3504,            0.047337,           0.0064251,            0.033138,            0.008119,            0.008119,            0.008119
                  21,            0.025842,            0.016023,           0.0049827,             0.72706,             0.61471,             0.64859,             0.36644,            0.048336,           0.0066022,            0.027274,             0.00802,             0.00802,             0.00802
                  22,            0.025466,             0.01641,           0.0045001,             0.87653,             0.57987,             0.66365,             0.34551,            0.048512,           0.0058129,            0.029661,            0.007921,            0.007921,            0.007921
                  23,            0.024341,            0.015677,            0.004889,             0.78129,             0.63462,              0.6583,              0.3269,            0.047947,           0.0062799,            0.023792,            0.007822,            0.007822,            0.007822
                  24,            0.025722,            0.015638,           0.0043998,             0.81474,             0.62929,             0.66483,             0.34928,            0.045917,           0.0066766,            0.021334,            0.007723,            0.007723,            0.007723
                  25,            0.024936,            0.015937,           0.0041044,             0.70892,             0.55855,             0.65423,             0.31133,            0.051468,           0.0066848,            0.025974,            0.007624,            0.007624,            0.007624
                  26,            0.024155,             0.01513,           0.0044376,             0.73236,             0.59987,             0.65953,             0.34953,            0.046034,           0.0071304,            0.021947,            0.007525,            0.007525,            0.007525
