               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.02038,            0.013318,           0.0045611,              0.7871,             0.60509,              0.6583,             0.36681,            0.053727,            0.010067,            0.038995,           0.0093268,           0.0093268,           0.0093268
                  36,            0.019758,            0.013773,           0.0038773,             0.84596,             0.58803,              0.6549,             0.38185,            0.048436,            0.010931,            0.031295,            0.009307,            0.009307,            0.009307
                  37,             0.01918,            0.012755,           0.0041248,             0.65852,             0.72403,             0.69237,             0.42314,            0.052302,           0.0098201,            0.027832,           0.0092872,           0.0092872,           0.0092872
                  38,             0.01963,             0.01331,            0.003647,              0.6227,             0.64574,             0.63135,             0.34127,            0.055429,            0.010349,            0.043549,           0.0092674,           0.0092674,           0.0092674
                  39,            0.019567,             0.01237,           0.0043791,             0.65441,             0.65725,             0.65878,             0.38267,            0.052657,           0.0095578,            0.039043,           0.0092476,           0.0092476,           0.0092476
                  40,            0.018848,            0.012607,           0.0039191,             0.72566,             0.65907,             0.67599,             0.39724,            0.050317,           0.0099335,            0.043278,           0.0092278,           0.0092278,           0.0092278
                  41,            0.019046,            0.012449,           0.0036709,             0.73859,             0.64471,              0.6605,             0.40759,            0.051373,            0.010693,            0.038357,            0.009208,            0.009208,            0.009208
                  42,            0.019637,            0.012638,           0.0040291,             0.63631,             0.66188,             0.63379,             0.38473,            0.052272,             0.01087,            0.039862,           0.0091882,           0.0091882,           0.0091882
                  43,            0.019637,            0.013001,           0.0029847,             0.78981,             0.64332,             0.68705,             0.40084,            0.051232,            0.010891,            0.043087,           0.0091684,           0.0091684,           0.0091684
                  44,            0.018883,            0.012817,           0.0034451,             0.79675,             0.60877,             0.65282,             0.35377,            0.054137,            0.010862,            0.040903,           0.0091486,           0.0091486,           0.0091486
                  45,            0.018404,             0.01239,           0.0033714,             0.80695,             0.62456,             0.64757,             0.36674,            0.054423,            0.011261,            0.040467,           0.0091288,           0.0091288,           0.0091288
                  46,            0.018746,            0.012196,           0.0041124,             0.74534,             0.61781,             0.65335,              0.3906,             0.05275,            0.010556,            0.042735,            0.009109,            0.009109,            0.009109
                  47,            0.019356,            0.012452,           0.0037332,              0.7871,              0.5824,             0.63362,             0.36097,            0.053673,            0.010542,            0.037879,           0.0090892,           0.0090892,           0.0090892
                  48,            0.019124,            0.012684,             0.00338,             0.75022,                0.63,             0.69785,             0.39098,             0.05488,           0.0098058,            0.045932,           0.0090694,           0.0090694,           0.0090694
                  49,            0.018494,            0.012312,           0.0032451,             0.75676,             0.62637,             0.67276,             0.37833,            0.052441,            0.010204,            0.049658,           0.0090496,           0.0090496,           0.0090496
                  50,            0.018055,            0.012071,           0.0028979,             0.78646,             0.62443,             0.64856,             0.35214,            0.053083,            0.010673,            0.050842,           0.0090298,           0.0090298,           0.0090298
                  51,             0.01872,            0.012349,           0.0034503,             0.77611,             0.63428,             0.66587,             0.38611,             0.05098,            0.010619,            0.043433,             0.00901,             0.00901,             0.00901
                  52,            0.019358,            0.012825,           0.0037295,             0.79096,             0.61004,             0.65391,             0.37259,            0.052672,            0.010154,            0.045367,           0.0089902,           0.0089902,           0.0089902
                  53,            0.018352,            0.012354,           0.0031496,             0.76352,             0.62764,             0.67483,              0.4172,             0.04865,            0.011042,            0.038309,           0.0089704,           0.0089704,           0.0089704
                  54,            0.018388,            0.012115,            0.003369,             0.81169,             0.62129,             0.66529,             0.41177,            0.050053,            0.010222,            0.043626,           0.0089506,           0.0089506,           0.0089506
                  55,            0.018351,            0.011805,           0.0032914,             0.72246,              0.6519,             0.66743,             0.41742,            0.052215,            0.010483,            0.042732,           0.0089308,           0.0089308,           0.0089308
                  56,            0.018583,            0.012141,           0.0027511,             0.68093,             0.56679,             0.58806,             0.35428,            0.051974,             0.01205,            0.043002,            0.008911,            0.008911,            0.008911
                  57,            0.018526,            0.012026,           0.0029638,             0.72837,             0.62291,             0.63646,             0.38194,            0.052557,            0.010684,            0.039565,           0.0088912,           0.0088912,           0.0088912
                  58,            0.018203,            0.011956,           0.0034729,             0.76342,             0.60019,             0.63179,             0.40382,             0.05239,            0.010558,            0.038651,           0.0088714,           0.0088714,           0.0088714
                  59,            0.018105,            0.012084,           0.0036257,             0.76283,             0.62149,             0.65528,             0.40771,            0.054652,            0.010804,            0.038998,           0.0088516,           0.0088516,           0.0088516
                  60,            0.018088,            0.012452,           0.0032614,              0.8375,             0.59388,             0.65496,             0.41044,            0.053937,            0.010897,            0.049189,           0.0088318,           0.0088318,           0.0088318
                  61,            0.017838,            0.011968,           0.0031257,             0.69957,             0.55427,             0.58535,             0.32113,            0.054582,            0.011035,            0.051659,            0.008812,            0.008812,            0.008812
                  62,             0.01777,             0.01269,           0.0028634,             0.71899,             0.61244,              0.6461,              0.3753,            0.056278,            0.010008,             0.04127,           0.0087922,           0.0087922,           0.0087922
                  63,            0.017848,            0.012069,           0.0039908,             0.76953,             0.63312,              0.6544,             0.37836,            0.051445,            0.010622,            0.043046,           0.0087724,           0.0087724,           0.0087724
                  64,            0.017953,            0.012247,           0.0035634,             0.63813,             0.60366,             0.61073,             0.36813,            0.052162,            0.010634,            0.043355,           0.0087526,           0.0087526,           0.0087526
                  65,            0.017598,            0.011507,           0.0041011,             0.79694,             0.61446,             0.67117,              0.3715,            0.052247,             0.01006,            0.039272,           0.0087328,           0.0087328,           0.0087328
                  66,            0.017789,            0.012075,           0.0030192,             0.68142,             0.66893,             0.67424,             0.39734,            0.049823,            0.010408,            0.036392,            0.008713,            0.008713,            0.008713
                  67,             0.01769,            0.011781,           0.0030769,             0.67573,             0.62917,             0.64092,             0.37563,            0.050935,            0.009767,             0.04229,           0.0086932,           0.0086932,           0.0086932
                  68,            0.018273,            0.012025,           0.0030829,             0.74376,             0.59856,             0.63208,             0.38012,            0.056337,            0.011323,            0.045351,           0.0086734,           0.0086734,           0.0086734
