               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082586,            0.028183,            0.026406,             0.41085,             0.38492,             0.34271,              0.1789,             0.04372,            0.010006,            0.022397,            0.070667,           0.0032593,           0.0032593
                   1,            0.047966,            0.024814,             0.02255,             0.59532,              0.4954,             0.54809,             0.31925,            0.042706,           0.0061722,            0.020705,            0.040645,           0.0065708,           0.0065708
                   2,            0.044538,            0.020654,            0.017791,             0.55637,             0.51977,             0.47139,             0.25817,            0.046946,           0.0058545,            0.025007,            0.010601,           0.0098604,           0.0098604
                   3,            0.039434,            0.018947,            0.015138,             0.56062,             0.64742,             0.57924,             0.30805,            0.044175,           0.0060514,             0.02247,            0.009901,            0.009901,            0.009901
                   4,            0.035591,            0.017971,            0.014037,             0.62232,             0.59521,              0.5932,             0.28787,            0.047771,           0.0053917,            0.016105,            0.009901,            0.009901,            0.009901
                   5,            0.034139,            0.017458,            0.012568,             0.59515,             0.59083,             0.55079,             0.26802,            0.044789,           0.0051332,            0.018236,            0.009868,            0.009868,            0.009868
                   6,            0.032058,            0.016888,            0.011972,             0.66942,             0.55687,             0.55486,             0.21339,            0.051838,           0.0049068,            0.031299,            0.009835,            0.009835,            0.009835
                   7,             0.03112,            0.017309,            0.012183,              0.6596,             0.61209,             0.62615,              0.3352,            0.042971,            0.005374,            0.023886,            0.009802,            0.009802,            0.009802
                   8,            0.030167,            0.016455,            0.010517,             0.76259,             0.55723,             0.65254,             0.30833,            0.042432,           0.0052541,            0.039739,            0.009769,            0.009769,            0.009769
                   9,            0.028223,            0.016719,            0.010062,             0.68306,              0.6247,             0.65525,             0.36613,            0.040296,           0.0052847,            0.025601,            0.009736,            0.009736,            0.009736
                  10,            0.028404,            0.016878,            0.010817,             0.75507,             0.56233,             0.64659,             0.32921,            0.045386,           0.0056695,            0.023486,            0.009703,            0.009703,            0.009703
                  11,            0.027837,            0.016158,             0.01106,             0.61088,             0.60935,             0.60685,             0.28918,             0.04301,           0.0055301,            0.016669,             0.00967,             0.00967,             0.00967
                  12,             0.02834,            0.015968,           0.0098941,             0.71779,             0.60393,             0.58609,             0.26893,            0.043146,           0.0054935,            0.027908,            0.009637,            0.009637,            0.009637
                  13,            0.026661,            0.016045,           0.0087102,             0.65704,             0.64715,             0.65252,             0.34438,            0.039406,           0.0049967,            0.028578,            0.009604,            0.009604,            0.009604
                  14,            0.026566,            0.015357,           0.0080033,             0.68858,             0.61968,             0.63647,             0.35331,            0.039009,           0.0052699,             0.01703,            0.009571,            0.009571,            0.009571
                  15,             0.02601,            0.015312,           0.0079131,             0.72575,             0.60303,             0.62643,             0.35564,             0.03916,           0.0052848,            0.026966,            0.009538,            0.009538,            0.009538
                  16,            0.025518,            0.014906,           0.0093759,              0.6485,             0.35618,             0.44133,             0.23491,            0.042416,           0.0071304,            0.049098,            0.009505,            0.009505,            0.009505
                  17,            0.025424,            0.015727,              0.0084,             0.57567,             0.54447,             0.52553,             0.33411,            0.038647,           0.0057299,            0.052205,            0.009472,            0.009472,            0.009472
                  18,            0.025746,            0.014997,           0.0090562,             0.75346,             0.58674,             0.62159,             0.35171,            0.040573,           0.0050998,            0.029091,            0.009439,            0.009439,            0.009439
                  19,            0.024938,            0.014996,           0.0080021,             0.72914,             0.59826,             0.62956,             0.36099,            0.038037,           0.0049778,            0.026387,            0.009406,            0.009406,            0.009406
                  20,            0.024351,            0.014833,            0.006841,             0.81555,             0.56754,             0.64938,             0.35299,            0.039966,            0.005204,             0.02098,            0.009373,            0.009373,            0.009373
                  21,            0.024258,            0.015273,            0.008097,             0.74862,             0.54147,             0.62459,             0.35652,             0.04131,           0.0050964,             0.04006,             0.00934,             0.00934,             0.00934
                  22,            0.023244,            0.014245,            0.008361,              0.7253,             0.55892,             0.61152,             0.37225,            0.038035,           0.0051677,            0.035165,            0.009307,            0.009307,            0.009307
                  23,            0.023629,            0.014483,           0.0073373,             0.54958,             0.63104,              0.6032,             0.32466,            0.040569,           0.0058349,             0.02317,            0.009274,            0.009274,            0.009274
                  24,            0.023594,            0.015073,           0.0071375,              0.7437,             0.55585,             0.63953,             0.36505,            0.038865,           0.0052031,            0.036489,            0.009241,            0.009241,            0.009241
                  25,            0.023193,            0.014737,           0.0067113,             0.73829,             0.63977,             0.66866,             0.38127,            0.035289,           0.0053942,            0.023537,            0.009208,            0.009208,            0.009208
                  26,            0.023007,            0.014334,           0.0070421,              0.7776,             0.56967,             0.65205,              0.3782,            0.039638,           0.0051411,            0.028848,            0.009175,            0.009175,            0.009175
                  27,            0.022895,            0.014625,           0.0065031,             0.75665,             0.55397,             0.64133,             0.37427,            0.040829,           0.0054364,            0.036689,            0.009142,            0.009142,            0.009142
                  28,            0.022537,            0.014095,           0.0063713,              0.8183,             0.63001,             0.65588,              0.3604,             0.03847,           0.0056292,            0.031461,            0.009109,            0.009109,            0.009109
                  29,             0.02269,            0.014008,           0.0064956,             0.68703,             0.55767,             0.62454,              0.3393,             0.04285,           0.0052789,            0.030048,            0.009076,            0.009076,            0.009076
                  30,            0.022344,            0.013893,           0.0066722,             0.79684,             0.57508,             0.59134,             0.33327,            0.040589,           0.0057659,            0.034483,            0.009043,            0.009043,            0.009043
